latitude,longitude,gps_altitude_m,distance_m,speed_km/s,climb_m,climb_m(delta),climb_rate_m/s,glide_ratio,bearing,delta_bearing,elapsed_time,delta_time,temp,pressure,humidity,dew_point,wind_speed,wind_deg
36.98093333333333,29.315316666666668,2077,9.485189616677287,34.146682620038234,3.0,-12.0,3.0,3.1617298722257625,141,6.0,29.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98088333333333,29.31535,2077,6.292671565828489,22.653617636982563,3.0,-9.0,3.0,2.0975571886094966,151,10.0,30.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98083333333334,29.315383333333333,2078,6.292672439845701,22.653620783444524,4.0,-5.0,4.0,1.5731681099614252,151,0.0,31.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98076666666667,29.315433333333335,2080,8.63453772495325,31.0843358098317,3.0,-2.0,3.0,2.878179241651083,149,2.0,32.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.9807,29.315483333333333,2082,8.634539654424916,31.084342755929697,2.0,1.0,2.0,4.317269827212458,149,0.0,33.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98063333333333,29.315533333333335,2084,8.634541585309169,31.084349707113006,2.0,4.0,2.0,4.317270792654584,149,0.0,34.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.980583333333335,29.315583333333333,2086,7.113905013022486,25.61005804688095,2.0,8.0,2.0,3.556952506511243,141,8.0,35.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98085,29.315666666666665,2092,15.943078425214793,57.395082330773256,2.0,16.0,2.0,7.9715392126073965,338,29.0,39.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98095,29.315533333333335,2091,16.250684525049518,58.50246429017827,5.0,22.0,5.0,3.250136905009904,313,25.0,40.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.981,29.315216666666668,2094,13.355072184141056,48.0782598629078,4.0,33.0,4.0,3.338768046035264,270,20.0,42.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.981,29.3151,2095,10.38727836561919,37.39420211622909,4.0,37.0,4.0,2.5968195914047976,270,0.0,43.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.980983333333334,29.314983333333334,2098,10.55067177005856,37.982418372210816,2.0,40.0,2.0,5.27533588502928,259,11.0,44.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.981233333333336,29.314916666666665,2101,8.125322158516793,29.251159770660454,4.0,7.0,4.0,2.0313305396291983,133,11.0,56.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98116666666667,29.31495,2102,3.9857669459516147,14.348761005425812,4.0,21.0,4.0,0.9964417364879037,158,0.0,58.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98095,29.315133333333332,2107,12.585339927869848,45.30722374033145,3.0,7.0,3.0,4.195113309289949,151,10.0,62.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98083333333334,29.315133333333332,2109,12.947349815257716,46.610459334927775,3.0,6.0,3.0,4.315783271752572,180,29.0,63.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98075,29.31511666666667,2110,9.366399653592484,33.719038752932946,5.0,9.0,5.0,1.8732799307184969,189,9.0,64.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.980666666666664,29.3151,2113,9.3663997813646,33.719039212912556,6.0,14.0,6.0,1.5610666302274332,189,0.0,65.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98061666666667,29.315083333333334,2115,5.743854287679819,20.67787543564735,2.0,16.0,2.0,2.8719271438399097,194,5.0,66.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.980383333333336,29.3152,2125,9.366400216360354,33.71904077889727,3.0,25.0,3.0,3.1221334054534515,170,12.0,70.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.981183333333334,29.31511666666667,2110,11.487704534249813,41.355736323299325,3.0,-14.0,3.0,3.8292348447499376,345,0.0,87.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98126666666667,29.315083333333334,2111,9.712633073733764,34.96547906544155,3.0,-11.0,3.0,3.2375443579112546,342,3.0,88.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98135,29.31505,2113,9.712632206715535,34.96547594417592,3.0,-9.0,3.0,3.237544068905178,342,0.0,89.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.981433333333335,29.315016666666665,2115,9.712631343938234,34.96547283817765,3.0,-9.0,3.0,3.237543781312745,342,0.0,90.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.981516666666664,29.315,2117,9.366398604508465,33.719034976230475,4.0,-6.0,4.0,2.341599651127116,350,8.0,91.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98158333333333,29.315016666666665,2119,7.545827974645262,27.164980708722947,2.0,-4.0,2.0,3.772913987322631,11,21.0,92.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98161666666667,29.3151,2121,8.290493776583272,29.845777595699783,2.0,0.0,2.0,4.145246888291636,63,52.0,93.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.9816,29.3152,2124,9.093406367435756,32.736262922768724,2.0,7.0,2.0,4.546703183717878,101,38.0,94.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.9814,29.315316666666668,2129,14.871191039512237,53.53628774224405,3.0,14.0,3.0,4.957063679837412,174,45.0,96.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98126666666667,29.31523333333333,2131,16.5529048999965,59.59045763998739,3.0,19.0,3.0,5.5176349666655,206,32.0,97.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.9812,29.315066666666667,2134,16.58105107223729,59.69178386005425,3.0,25.0,3.0,5.527017024079097,243,37.0,98.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.9813,29.3147,2138,17.484879434633367,62.945565964680114,2.0,36.0,2.0,8.742439717316683,302,27.0,100.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98141666666667,29.314616666666666,2141,14.922537598151624,53.72113535334585,3.0,40.0,3.0,4.974179199383875,330,28.0,101.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98153333333333,29.314583333333335,2143,13.283131820190642,47.81927455268631,5.0,46.0,5.0,2.6566263640381282,347,17.0,102.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.9816,29.314633333333333,2146,8.634515516790888,31.084255860447197,5.0,51.0,5.0,1.7269031033581776,30,43.0,103.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98165,29.314683333333335,2148,7.113868692193567,25.609927291896845,2.0,52.0,2.0,3.5569343460967837,38,8.0,104.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98161666666667,29.314883333333334,2154,9.641228557016424,34.708422805259126,2.0,53.0,2.0,4.820614278508212,112,23.0,106.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98155,29.314983333333334,2158,11.576121681385317,41.674038052987136,4.0,54.0,4.0,2.894030420346329,129,17.0,107.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98146666666667,29.315016666666665,2161,9.712630130893944,34.965468471218195,4.0,55.0,4.0,2.428157532723486,162,33.0,108.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98138333333333,29.315033333333332,2164,9.366398681311866,33.71903525272272,4.0,56.0,4.0,2.3415996703279665,170,8.0,109.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.9813,29.315016666666665,2167,9.366398809440998,33.719035713987594,4.0,57.0,4.0,2.3415997023602495,189,19.0,110.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98121666666667,29.31495,2171,10.989015254930106,39.56045491774838,2.0,55.0,2.0,5.494507627465053,212,23.0,111.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.981116666666665,29.3143,2182,16.42730345097395,59.13829242350623,2.0,52.0,2.0,8.213651725486976,276,12.0,115.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.981183333333334,29.31415,2184,15.267444019437546,54.96279846997517,4.0,53.0,4.0,3.8168610048593865,299,23.0,116.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98126666666667,29.31405,2186,12.837337242402468,46.21441407264888,3.0,53.0,3.0,4.279112414134156,316,17.0,117.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98135,29.313966666666666,2188,11.856466673958078,42.68328002624908,3.0,53.0,3.0,3.952155557986026,321,5.0,118.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
36.98145,29.313933333333335,2191,11.487702340975126,41.35572842751045,4.0,56.0,4.0,2.8719255852437815,345,24.0,119.0,1.0,25.62,1008.0,35.0,9.04,0.66,75.0
