lat,lon,datetime,dt,temp,pressure,humidity,dew_point,wind_speed,wind_deg
40.0,32.3,2024-08-03 09:00:00+00:00,1722675600,30.71,1005,27,9.58,2.31,260
40.0,32.3,2024-08-03 10:00:00+00:00,1722679200,33.41,1005,20,7.41,3.29,264
36.5,29.2,2013-10-26 08:00:00+00:00,1382774400,16.75,1018,35,1.22,0.5,280
36.5,29.2,2013-10-26 09:00:00+00:00,1382778000,17.11,1018,31,-0.12,1.0,290
36.5,29.1,2013-10-26 09:00:00+00:00,1382778000,23.51,1018,31,5.42,1.0,290
36.6,29.1,2013-10-26 09:00:00+00:00,1382778000,20.89,1018,31,3.15,1.0,290
40.0,32.3,2018-07-16 09:00:00+00:00,1531731600,26.09,1009,32,8.12,1.63,287
40.0,32.3,2018-07-16 10:00:00+00:00,1531735200,27.4,1008,29,7.81,2.2,278
40.0,32.4,2018-07-16 10:00:00+00:00,1531735200,25.31,1008,28,5.51,2.6,210
39.9,32.4,2018-07-16 10:00:00+00:00,1531735200,28.11,1008,30,8.92,2.06,283
39.8,32.4,2018-07-16 10:00:00+00:00,1531735200,28.58,1008,30,9.33,2.74,305
39.8,32.4,2018-07-16 11:00:00+00:00,1531738800,29.2,1008,29,9.35,3.33,297
39.8,32.5,2018-07-16 11:00:00+00:00,1531738800,26.48,1007,28,6.51,2.75,274
39.8,32.6,2018-07-16 11:00:00+00:00,1531738800,25.64,1008,28,5.79,5.14,300
39.7,32.6,2018-07-16 11:00:00+00:00,1531738800,26.33,1008,29,6.89,3.33,297
39.7,32.7,2018-07-16 11:00:00+00:00,1531738800,27.67,1008,29,8.04,3.36,301
39.7,32.7,2018-07-16 12:00:00+00:00,1531742400,28.38,1008,28,8.13,3.87,299
39.7,32.8,2018-07-16 12:00:00+00:00,1531742400,28.74,1008,28,8.44,3.87,299
39.6,32.8,2018-07-16 12:00:00+00:00,1531742400,28.46,1007,27,7.67,4.51,305
39.6,32.9,2018-07-16 12:00:00+00:00,1531742400,28.18,1007,26,6.88,3.94,311
39.6,33.0,2018-07-16 12:00:00+00:00,1531742400,29.52,1007,29,9.63,3.58,308
39.6,33.1,2018-07-16 12:00:00+00:00,1531742400,28.27,1007,26,6.96,3.94,311
39.6,33.2,2018-07-16 12:00:00+00:00,1531742400,26.52,1006,26,5.47,3.41,312
39.6,33.2,2018-07-16 13:00:00+00:00,1531746000,26.48,1006,26,5.44,4.03,317
39.5,33.2,2018-07-16 13:00:00+00:00,1531746000,29.28,1006,26,7.81,4.03,317
39.5,33.3,2018-07-16 13:00:00+00:00,1531746000,30.02,1006,26,8.44,4.03,317
39.5,33.4,2018-07-16 13:00:00+00:00,1531746000,30.81,1006,26,9.11,3.7,314
39.4,33.4,2018-07-16 13:00:00+00:00,1531746000,30.75,1006,26,9.06,3.7,314
39.4,33.5,2018-07-16 13:00:00+00:00,1531746000,29.84,1006,26,8.29,3.7,314
39.4,33.6,2018-07-16 13:00:00+00:00,1531746000,29.13,1006,26,7.68,3.7,314
39.4,33.6,2018-07-16 14:00:00+00:00,1531749600,29.26,1006,27,8.35,3.86,318
39.4,33.7,2018-07-16 14:00:00+00:00,1531749600,29.05,1006,28,8.71,3.8,315
39.3,33.7,2018-07-16 14:00:00+00:00,1531749600,27.73,1006,26,6.5,4.15,308
39.3,33.8,2018-07-16 14:00:00+00:00,1531749600,28.07,1006,26,6.79,4.15,308
39.3,33.9,2018-07-16 14:00:00+00:00,1531749600,26.92,1006,26,5.81,4.03,310
39.3,34.0,2018-07-16 14:00:00+00:00,1531749600,25.16,1006,29,5.89,3.99,328
39.2,34.0,2018-07-16 14:00:00+00:00,1531749600,28.47,1006,26,7.13,4.03,310
39.2,34.0,2018-07-16 15:00:00+00:00,1531753200,28.53,1006,25,6.61,4.14,318
39.2,34.1,2018-07-16 15:00:00+00:00,1531753200,27.63,1006,24,5.26,3.1,310
40.0,32.3,2024-05-19 10:00:00+00:00,1716112800,21.32,1014,47,9.56,2.22,248
40.0,32.2,2024-05-19 10:00:00+00:00,1716112800,23.46,1014,47,11.51,2.22,248
40.0,32.3,2024-05-19 11:00:00+00:00,1716116400,22.47,1013,41,8.58,2.39,252
